instance,J,T,C,solver,status,objective,schedule
instances/MTSP/Laporte/Tabela4/L23-10.txt,9,25,20,org.minizinc.mip.cplex,optimal,7,"[1, 2, 5, 9, 7, 4, 3, 6, 8]"
instances/MTSP/Laporte/Tabela4/L23-2.txt,9,25,20,org.minizinc.mip.cplex,optimal,8,"[2, 7, 4, 9, 6, 5, 3, 1, 8]"
instances/MTSP/Laporte/Tabela4/L23-3.txt,9,25,20,org.minizinc.mip.cplex,optimal,11,"[9, 8, 1, 7, 6, 5, 2, 3, 4]"
instances/MTSP/Laporte/Tabela4/L23-4.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[3, 6, 5, 8, 1, 2, 7, 9, 4]"
instances/MTSP/Laporte/Tabela4/L23-5.txt,9,25,20,org.minizinc.mip.cplex,optimal,7,"[7, 3, 1, 8, 9, 5, 2, 6, 4]"
instances/MTSP/Laporte/Tabela4/L23-6.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[4, 7, 8, 3, 6, 5, 2, 9, 1]"
instances/MTSP/Laporte/Tabela4/L23-7.txt,9,25,20,org.minizinc.mip.cplex,optimal,8,"[4, 2, 1, 8, 6, 5, 3, 7, 9]"
instances/MTSP/Laporte/Tabela4/L23-8.txt,9,25,20,org.minizinc.mip.cplex,optimal,10,"[4, 8, 9, 3, 5, 7, 1, 6, 2]"
instances/MTSP/Laporte/Tabela4/L23-9.txt,9,25,20,org.minizinc.mip.cplex,optimal,6,"[3, 4, 6, 1, 7, 9, 5, 2, 8]"
instances/MTSP/Laporte/Tabela4/L24-1.txt,9,25,20,org.minizinc.mip.cplex,satisfied,7,"[6, 8, 4, 1, 2, 5, 7, 9, 3]"
instances/MTSP/Laporte/Tabela4/L24-10.txt,9,25,20,org.minizinc.mip.cplex,satisfied,8,"[7, 6, 2, 1, 3, 8, 4, 5, 9]"
instances/MTSP/Laporte/Tabela4/L24-2.txt,9,25,20,org.minizinc.mip.cplex,optimal,7,"[1, 7, 2, 8, 5, 4, 3, 9, 6]"
instances/MTSP/Laporte/Tabela4/L24-3.txt,9,25,20,org.minizinc.mip.cplex,satisfied,7,"[4, 7, 5, 1, 2, 6, 8, 3, 9]"
instances/MTSP/Laporte/Tabela4/L24-4.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[5, 2, 7, 9, 3, 8, 6, 1, 4]"
instances/MTSP/Laporte/Tabela4/L24-5.txt,9,25,20,org.minizinc.mip.cplex,satisfied,6,"[3, 5, 6, 2, 8, 7, 9, 4, 1]"
